timestamp,department,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
2026-01-10T15:29:17.256235,OVA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-10T15:40:48.055309,Customer Invoicing,6,8,5,3,5,5,9,9,5,2,2,5,5,8,4
2026-01-10T15:41:44.896056,Customer Invoicing,7,7,9,2,9,5,5,10,3,7,5,8,5,3,9
2026-01-10T15:42:49.016345,OVA,3,9,4,3,8,4,3,5,8,4,4,5,8,6,5
2026-01-10T16:44:29.653599,Finance & Accounting,7,3,7,3,7,8,8,8,8,3,3,3,8,3,8
2026-01-10T16:45:10.900152,Customer Invoicing,9,7,8,3,7,7,7,3,7,7,7,4,7,7,8
2026-01-10T16:45:32.034823,"Documentation, Pricing & Legal",7,2,7,8,2,2,9,8,2,7,2,8,8,2,10
2026-01-10T16:45:55.555932,Information Technology,8,4,9,2,6,3,10,10,3,8,7,9,7,8,4
2026-01-10T16:45:56.933567,Administration,7,3,9,8,2,2,9,9,9,8,8,5,8,8,3
2026-01-10T16:46:26.689867,Commercial Reporting & BI,8,7,10,2,3,9,4,7,8,8,4,2,7,3,3
2026-01-10T16:46:51.781457,Customer Invoicing,7,7,7,4,9,4,4,4,4,7,8,7,3,3,8
2026-01-10T16:48:57.944814,Finance & Accounting,4,3,4,5,4,4,6,4,4,4,6,5,6,4,6
2026-01-10T16:51:01.501144,Information Technology,4,6,4,7,5,6,6,7,8,4,4,6,3,6,6
2026-01-10T16:57:46.871958,Administration,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-10T16:57:47.425422,Finance & Accounting,3,8,3,10,4,5,5,7,9,7,4,6,4,7,7
2026-01-10T16:59:09.597553,Administration,10,6,10,8,3,7,4,7,7,7,9,7,8,7,8
2026-01-11T14:06:21.991235,Commercial Reporting & BI,9,10,5,9,2,5,9,3,5,9,5,4,5,7,6
2026-01-11T15:28:42.142742,Customer Invoicing,7,2,1,2,3,1,4,2,3,1,2,3,1,1,3
2026-01-11T15:30:09.186254,"Documentation, Pricing & Legal",6,4,8,3,2,7,10,4,8,9,5,3,7,4,8
2026-01-11T15:31:26.507538,"Documentation, Pricing & Legal",3,7,4,7,7,3,10,2,7,8,3,7,2,8,3
2026-01-11T15:31:50.242630,Administration,3,7,3,3,8,3,8,3,3,7,2,2,2,8,3
2026-01-11T15:32:14.258529,Finance & Accounting,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T15:32:43.108696,Information Technology,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2026-01-11T15:33:04.506987,Finance & Accounting,4,7,3,8,3,6,9,6,5,4,3,8,7,9,3
2026-01-11T15:34:22.973315,Administration,4,8,5,5,5,5,8,10,2,2,2,3,4,9,3
2026-01-11T15:45:16.474513,OVA,6,3,9,9,3,6,3,8,3,6,3,6,8,2,6
2026-01-11T15:48:31.457485,Commercial Reporting & BI,5,10,3,5,5,5,8,5,5,3,5,5,8,2,8
2026-01-11T15:54:27.915826,Commercial Reporting & BI,2,8,2,8,9,2,3,7,3,8,4,9,4,7,3
2026-01-11T16:07:02.911707,Administration,7,3,6,3,7,3,4,7,4,3,10,3,3,8,4
2026-01-11T16:07:05.518909,Information Technology,9,3,8,3,8,3,8,3,9,2,2,4,8,3,7
2026-01-11T16:07:36.362727,"Documentation, Pricing & Legal",4,4,7,4,8,8,3,4,8,3,5,8,10,3,6
2026-01-11T16:07:38.619001,Commercial Reporting & BI,4,4,10,3,7,10,3,7,3,8,4,7,3,9,2
2026-01-11T16:07:56.801054,Customer Invoicing,4,7,7,5,5,8,4,7,8,4,8,3,6,7,8
2026-01-11T16:07:57.226834,OVA,9,1,8,2,2,1,7,3,5,8,5,9,3,9,2
2026-01-11T16:14:36.911800,Commercial Reporting & BI,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:15:06.610439,"Documentation, Pricing & Legal",7,7,1,3,2,10,3,2,3,8,10,3,3,7,2
2026-01-11T16:15:38.908897,OVA,7,9,9,10,9,9,3,1,9,8,9,2,3,2,2
2026-01-11T16:16:01.868379,Administration,10,9,1,1,1,2,8,2,8,2,7,3,2,8,3
2026-01-11T16:16:59.559620,Finance & Accounting,3,7,3,7,2,2,8,3,7,2,8,3,3,8,3
2026-01-11T16:18:25.766332,Commercial Reporting & BI,6,3,3,8,8,8,3,8,7,6,8,8,3,3,8
2026-01-11T16:18:34.909283,Commercial Reporting & BI,7,2,8,9,9,3,3,9,3,7,7,3,8,2,9
2026-01-11T16:18:54.655914,"Documentation, Pricing & Legal",3,3,4,9,9,10,9,7,7,3,2,9,5,8,9
2026-01-11T16:18:57.468556,"Documentation, Pricing & Legal",8,3,8,9,3,8,2,9,2,4,8,3,7,3,7
2026-01-11T16:19:19.519495,Finance & Accounting,2,5,7,3,10,4,7,3,7,9,8,3,8,4,7
2026-01-11T16:19:20.768340,Administration,3,8,6,3,3,3,7,7,9,2,7,8,5,7,7
2026-01-11T16:19:37.266487,Commercial Reporting & BI,9,8,2,8,3,8,3,5,8,3,8,4,10,4,8
2026-01-11T16:19:46.569937,Information Technology,10,1,3,8,7,3,10,9,9,4,8,7,3,8,8
2026-01-11T16:19:59.266939,"Documentation, Pricing & Legal",8,5,2,1,9,9,10,7,8,2,6,2,8,8,2
2026-01-11T16:20:08.923894,"Documentation, Pricing & Legal",3,3,8,8,7,3,8,8,8,9,8,2,3,3,3
2026-01-11T16:20:15.918243,Commercial Reporting & BI,10,5,2,8,3,8,3,8,3,9,10,3,9,8,2
2026-01-11T16:20:38.057996,OVA,5,2,2,4,7,6,2,3,4,4,6,8,6,7,1
2026-01-11T16:21:17.685836,"Documentation, Pricing & Legal",3,9,3,7,6,2,9,3,7,2,9,2,9,3,5
2026-01-11T16:21:25.452385,OVA,10,3,3,9,7,3,8,10,3,7,2,3,7,9,7
